280 8097 618 221 	258 8152 713 93 	2450 6516 240 10 	
6981 426 593 1216 	7048 425 582 1161 	7140 423 601 1052 	
1466 2502 4481 767 	1592 2046 4818 760 	3780 3159 1826 451 	
337 4477 3050 1352 	431 4466 3194 1125 	1545 4991 1836 844 	
3381 2216 3547 72 	2405 2039 4670 102 	1911 2184 3986 1135 	
1128 4745 2775 568 	723 3812 3949 732 	1112 4144 2919 1041 	
500 8005 447 264 	674 7687 689 166 	900 1445 6698 173 	
1574 3803 2847 992 	2090 3945 2374 807 	2606 3580 2206 824 	
2558 3384 2253 1021 	2422 3643 2172 979 	2902 3177 2205 932 	
2878 2943 1852 1543 	2641 2903 2051 1621 	3976 2366 1663 1211 	
2683 5061 1296 176 	2612 5132 1278 194 	3157 4839 1041 179 	
877 5113 2970 256 	911 5143 3041 121 	1484 5984 1674 74 	
1956 6761 257 242 	1828 6948 264 176 	1559 7257 267 133 	
1135 5804 1904 373 	221 6419 2274 302 	4892 3230 945 149 	
173 3074 4257 1712 	186 1735 5205 2090 	1523 3850 2342 1501 	
1087 4815 3092 222 	1219 4964 2920 113 	1121 4624 3321 150 	
465 7525 1104 122 	425 7329 1354 108 	8319 790 90 17 	
2333 1682 3730 1471 	2563 2002 3893 758 	3780 3858 1480 98 	
2283 3865 2601 467 	2240 4131 2490 355 	3660 3971 1373 212 	
1227 3319 3500 1170 	1182 3268 3836 930 	2276 4270 2505 165 	
2124 4779 2220 93 	1989 4975 2155 97 	2947 5132 1096 41 	
324 2345 5027 1520 	607 3483 4481 645 	2474 4801 1795 146 	
2514 4959 1385 358 	381 4473 3458 904 	4099 3741 1061 315 	
579 5635 2222 780 	288 3010 4658 1260 	4130 3900 884 302 	
1836 6238 425 717 	1650 6443 542 581 	2017 6070 663 466 	
739 2264 5547 666 	825 2190 5767 434 	3125 2629 3020 442 	
510 6674 1886 146 	437 6401 2285 93 	1823 3269 4103 21 	
679 4689 2950 898 	634 5487 2563 532 	1335 5657 1648 576 	
1004 5199 2229 784 	344 3958 3912 1002 	4511 3122 1129 454 	
3126 3158 1718 1214 	2917 3441 1739 1119 	4461 2293 1545 917 	
4132 4245 748 91 	2510 5829 757 120 	6791 1815 518 92 	
4749 699 919 2849 	4758 662 1054 2742 	4921 604 1354 2337 	
3423 3794 1582 417 	2940 4238 1746 292 	3621 3767 1619 209 	
428 5728 2925 135 	465 6288 2417 46 	1032 7292 870 22 	
2124 5281 1025 786 	2132 5162 983 939 	2919 4338 849 1110 	
474 4202 3616 924 	498 3863 3942 913 	1783 3765 1709 1959 	
912 3334 3035 1935 	525 2555 3996 2140 	2265 3271 2252 1428 	
1979 5041 1479 717 	1300 4516 2560 840 	4558 3010 909 739 	
880 769 7513 54 	860 620 7646 90 	891 629 7616 80 	
839 1891 6267 219 	859 910 7128 319 	910 7021 1190 95 	
982 3449 3264 1521 	919 3718 3377 1202 	3008 3709 2145 354 	
663 4042 4326 185 	674 3355 5019 168 	921 5528 2653 114 	
531 8259 358 68 	490 219 8443 64 	458 195 8458 105 	
7271 1598 212 135 	5597 3324 160 135 	8501 480 139 96 	
7814 715 594 93 	7151 1620 405 40 	7998 812 368 38 	
1135 4707 2236 1138 	160 2894 4716 1446 	3811 3088 1472 845 	
237 5385 3303 291 	106 1709 6905 496 	3424 5295 392 105 	
1134 1389 6686 7 	1168 1425 6623 0 	1790 1124 6302 0 	
3466 2526 1609 1615 	4296 2116 1619 1185 	4943 2172 1465 636 	
205 4157 4614 240 	196 1182 7613 225 	197 522 8190 307 	
806 6411 1540 459 	1059 5901 1737 519 	5988 2199 616 413 	
872 3796 3448 1100 	637 3278 4085 1216 	2166 3453 2634 963 	
737 1032 7339 108 	660 1069 7450 37 	1000 875 7068 273 	
469 1221 840 6686 	642 1324 436 6814 	1011 1090 312 6803 	
143 646 4956 3471 	229 1000 6271 1716 	509 2499 5369 839 	
546 1748 4397 2525 	789 2289 4853 1285 	2126 4490 2461 139 	
5232 2808 770 406 	2550 5396 777 493 	6757 1551 651 257 	
709 504 5384 2619 	617 1833 6290 476 	735 4924 3529 28 	
920 4095 3278 923 	751 3289 3950 1226 	1228 4468 2704 816 	
1394 4534 2981 307 	1673 5187 2177 179 	2369 4666 2046 135 	
676 7390 1119 31 	676 5843 2682 15 	820 4705 3673 18 	
6429 2523 242 22 	3774 4654 747 41 	8374 548 234 60 	
6006 2708 378 124 	3189 4715 1199 113 	6392 2394 354 76 	
2409 4215 1372 1220 	2589 4533 981 1113 	3247 4338 596 1035 	
1134 4563 3437 82 	1218 974 6937 87 	2338 6508 353 17 	
417 603 7860 336 	389 638 585 7604 	393 644 483 7696 	
456 731 7429 600 	512 709 7470 525 	6105 3063 48 0 	
2495 4190 2457 74 	1207 3921 3764 324 	850 2463 3963 1940 	
715 6400 842 1259 	680 1651 5667 1218 	897 6487 1527 305 	
149 2368 4699 2000 	347 2065 4694 2110 	462 4407 2005 2342 	
1932 5613 1632 39 	869 6430 1874 43 	2667 4325 1598 626 	
112 2119 4422 2563 	958 3907 3025 1326 	2425 4055 2346 390 	
229 1595 6851 541 	376 4512 4079 249 	1970 6348 745 153 	
2118 2133 2231 2734 	2264 2145 2295 2512 	2428 2464 2864 1460 	
3006 4382 1514 314 	891 4281 3590 454 	5479 2945 580 212 	
4556 2347 2137 176 	4868 2347 1909 92 	5390 1764 1985 77 	
2181 3734 2383 918 	1710 3245 3065 1196 	3444 2960 1677 1135 	
7119 1308 502 287 	5689 2684 595 248 	6572 1752 625 267 	
3477 3303 2177 259 	1196 4881 2700 439 	4925 3767 443 81 	
1984 4222 2531 479 	2367 4462 2139 248 	4758 3330 1075 53 	
6294 849 1702 371 	4656 2457 1739 364 	852 6181 1840 343 	
419 1641 1451 1801 2079 1226 459 140 	508 2014 1766 1978 1621 898 359 72 	1113 2588 2135 1537 993 540 258 52 	
31 359 708 529 720 2663 2843 1363 	29 374 694 519 696 2470 2864 1570 	381 708 914 2461 2869 1720 163 0 	
84 137 149 1199 5252 1813 538 44 	80 140 147 836 5188 2218 569 38 	132 157 199 422 3941 3614 702 49 	
1355 1890 1111 792 919 1223 1014 912 	1314 1893 1193 848 1006 1313 939 710 	2088 1763 1059 1033 1327 1095 619 232 	
275 634 304 932 1971 3097 998 1005 	426 521 296 1131 2296 3136 730 680 	657 377 546 1309 2413 2935 594 385 	
1721 2110 2018 1286 1075 564 293 149 	70 856 2463 1999 2171 1030 500 127 	1264 2228 2494 1555 691 412 358 214 	
168 1807 2595 1576 1504 701 380 485 	182 978 2148 2193 1871 1119 420 305 	4872 2116 1051 404 313 254 202 4 	
649 933 2210 2570 2624 226 4 0 	506 661 1564 2337 1690 2273 184 1 	520 1067 1770 1412 1075 930 1009 1433 	
130 194 255 742 3029 4129 683 54 	238 269 527 2275 4718 1083 103 3 	621 1024 4111 3008 412 40 0 0 	
72 1413 3275 1844 1093 910 450 159 	177 1826 2847 2106 1128 761 299 72 	542 2819 2447 1278 976 686 323 145 	
1323 1676 1699 3530 847 71 29 41 	364 1522 1563 1942 3363 397 25 40 	276 595 1542 1516 2497 2662 94 34 	
266 632 909 804 971 1161 2178 2295 	222 436 762 979 969 1112 1587 3149 	1216 1434 1515 1472 1317 1129 764 369 	
254 363 726 1223 2402 2629 1317 302 	400 579 993 1810 2510 1875 832 217 	1286 1720 2587 2389 997 208 27 2 	
287 415 849 4166 1712 1251 490 46 	123 430 658 916 2415 3933 657 84 	252 593 3857 2535 826 673 447 33 	
382 416 305 330 828 4485 2150 320 	357 419 320 273 485 2740 4360 262 	666 456 547 594 1178 3436 2167 172 	
5944 1400 659 265 248 243 247 210 	4480 2518 748 495 257 270 246 202 	7203 794 317 280 231 188 143 60 	
2242 2299 1167 679 492 370 590 1377 	2309 2338 1210 646 456 311 641 1305 	3036 2340 953 433 289 274 791 1100 	
28 60 162 930 6250 1467 261 58 	30 59 179 934 6324 1356 284 50 	46 107 373 2996 4992 521 152 29 	
775 747 1643 4338 1194 336 181 2 	746 761 619 3716 2673 476 223 2 	997 756 2455 3529 1066 353 50 10 	
1 126 5570 1205 1130 333 273 578 	0 27 2335 4605 1137 306 316 490 	362 5501 1595 937 279 229 242 71 	
12 286 2133 3541 1552 409 66 1217 	37 718 3255 3139 729 84 78 1176 	178 1671 2732 1998 1048 338 100 1151 	
30 696 2554 2426 2044 981 273 212 	23 219 1448 3395 2696 955 244 236 	1403 3356 2808 992 263 139 114 141 	
880 408 584 1195 2421 2690 717 321 	1022 358 701 1263 2655 2322 601 294 	910 1017 956 2124 2949 891 240 129 	
689 1247 1617 2618 1647 253 915 230 	820 1503 2189 2529 872 129 85 1089 	930 1609 2253 2538 610 84 38 1154 	
1691 2272 1475 1481 1045 749 384 119 	1632 2543 1800 1552 942 532 202 13 	4450 1855 1359 897 449 164 41 1 	
44 153 321 863 2267 3948 1616 4 	96 307 461 1316 1775 2741 2517 3 	234 577 1351 1373 1002 2208 2463 8 	
81 873 4247 3040 519 213 157 86 	106 1083 4489 2673 474 204 134 53 	108 1096 4100 2971 528 219 142 52 	
271 446 429 906 3921 2776 401 66 	316 427 374 3625 3455 638 315 66 	374 420 1627 4979 1087 392 280 57 	
1078 3239 3594 846 203 159 83 14 	1172 3078 3722 827 168 137 94 18 	2650 4368 1494 298 163 115 98 30 	
15 107 335 775 5710 1977 262 35 	839 878 1468 5835 135 42 14 5 	1017 887 2694 4421 123 56 14 4 	
589 2820 2613 1326 942 551 248 127 	332 590 3410 2306 1169 817 454 138 	4039 2445 1261 702 383 210 122 54 	
142 1242 2546 2448 599 1789 379 71 	66 480 1330 3357 2050 1640 214 79 	111 769 1254 3630 2943 369 82 58 	
490 330 787 1621 4092 902 660 334 	527 172 1383 5412 638 634 363 87 	551 560 6238 1111 549 166 23 18 	
114 475 2444 4428 1032 353 213 157 	162 744 1695 5211 1035 280 84 5 	1610 3475 3608 332 124 60 7 0 	
1267 4019 2546 792 357 164 40 31 	742 1849 2700 2241 1049 376 144 115 	2400 4097 1742 508 244 153 38 34 	
75 2716 5696 583 101 21 14 10 	22 75 869 6184 1932 91 24 19 	18 75 111 893 5800 2206 80 33 	
6 56 235 663 1947 3392 2239 678 	4 38 186 504 1289 3745 2839 611 	1590 1476 1967 2007 1361 597 204 14 	
9 345 1870 1901 1748 1470 859 1014 	90 591 1871 2190 1545 979 743 1207 	1218 2204 1464 1111 738 596 562 1323 	
55 639 2917 3675 1545 329 48 8 	46 472 2434 4053 1797 350 56 8 	246 1860 3103 2469 1227 266 37 8 	
145 2517 4544 1264 357 167 173 49 	1616 743 2698 3208 569 167 140 75 	1718 1999 3229 1104 726 119 94 227 	
71 265 575 1116 2152 2787 1345 905 	48 211 530 924 2077 2816 1713 897 	304 669 877 1317 2369 2016 1058 606 	
41 357 531 523 2099 5252 326 87 	41 408 572 810 5163 2034 139 49 	140 629 728 4894 2557 184 60 24 	
